"target","subscribers","video.views","uploads","Country","channel_type","created_month","created_date","video_views_for_the_last_30_days","subscribers_for_last_30_days","created_year","Gross.tertiary.education.enrollment....","Population","Unemployment.rate","Urban_population","Latitude","Longitude","rgroup","predCountry","predchannel_type","predcreated_month","predcreated_date","predcreated_year","predsubscribers","predvideo.views","preduploads","predvideo_views_for_the_last_30_days","predsubscribers_for_last_30_days","predGross.tertiary.education.enrollment....","predPopulation","predUnemployment.rate","predUrban_population","predLatitude","predLongitude","pred"
1,18500000,4051072188,679,"Indonesia","People","Jan","6",197369000,1600000,"2014",36.3,270203917,4.69,151509724,-0.789275,113.921327,0.963498546509072,0.307707224319408,0.37778052984104,0.403510493208481,0.576920180892143,0.472727798101428,0.412699824183372,0.180333135905586,0.491803439671098,0.983863189680435,0.981472595384838,0.393444396376725,0.514285662602914,0.580881770158871,0.383563261097473,0.596272704041445,0.426230744141516,0.999999991429065
0,18400000,7038827526,6943,"Spain","Games","Jan","26",11004000,0,"2011",88.9,47076781,13.96,37927409,40.463667,-3.74922,0.940348780713975,0.20001508041481,0.366668915907679,0.403510493208481,0.519999264964466,0.446429557032493,0.412699824183372,0.393444396376725,0.491803439671098,8.09056912990721e-06,0.147208121827411,0.423078433556597,0.400001451741784,0.360001888286511,0.475410265788702,0.324329116061096,0.294121715718841,0.0996298334509541
1,18400000,25367126292,197,"United States","Music","Sep","2",267126000,0,"2009",88.2,328239523,14.7,270663028,37.09024,-95.712891,0.803962741047144,0.526315681174103,0.633801886066835,0.590907738115735,0.409095114920986,0.666662434895942,0.412699824183372,0.919348101214119,0.467742481949914,0.999991830025354,0.147208121827411,0.51984119754833,0.514285662602914,0.526315681174103,0.526315681174103,0.522900682147689,0.501976283190093,0.957806843392669
1,18300000,7760819588,142,"United States","Entertainment","Sep","15",127982000,1e+05,"2009",88.2,328239523,14.7,270663028,37.09024,-95.712891,0.926303341286257,0.526315681174103,0.472081368233545,0.590907738115735,0.59999508141476,0.666662434895942,0.412699824183372,0.64515897523228,0.467742481949914,0.967205482260563,0.411167971854847,0.51984119754833,0.514285662602914,0.526315681174103,0.526315681174103,0.522900682147689,0.501976283190093,0.355399014769867
1,18100000,13378360425,420,"United States","Entertainment","Oct","13",497044000,7e+05,"2012",88.2,328239523,14.7,270663028,37.09024,-95.712891,0.820767922326922,0.526315681174103,0.472081368233545,0.571427324929495,0.59999508141476,0.510638106069586,0.412699824183372,0.693545291582017,0.403227393483599,0.935476873330698,0.981472595384838,0.51984119754833,0.514285662602914,0.526315681174103,0.526315681174103,0.522900682147689,0.501976283190093,0.999903832121205
1,17900000,9867515979,602,"Vietnam","Entertainment","Nov","22",84467000,1e+05,"2019",28.5,96462106,2.01,35332140,14.058324,108.277199,0.831425701268017,0.000501122254369008,0.472081368233545,0.500000031218181,0.555553558141425,0.411769991375603,0.412699824183372,0.786880569554214,0.491803439671098,0.983863189680435,0.411167971854847,0.000501122254369008,0.375002261091349,0.418183335273479,0.475410265788702,0.596272704041445,0.426230744141516,0.507786035053501
1,17900000,9887116267,830,"United States","Music","Jul","21",447891000,4e+05,"2008",88.2,328239523,14.7,270663028,37.09024,-95.712891,0.84693632973358,0.526315681174103,0.633801886066835,0.500000030061973,0.391309144097066,0.529410947424388,0.412699824183372,0.786880569554214,0.491803439671098,0.935476873330698,0.93999123264288,0.51984119754833,0.514285662602914,0.526315681174103,0.526315681174103,0.522900682147689,0.501976283190093,0.985374784206307
1,17700000,17247584185,1316,"Argentina","Music","Oct","18",640030000,6e+05,"2013",90,44938712,9.79,41339571,-38.416097,-63.616672,0.827030942542478,0.777747097364362,0.633801886066835,0.571427324929495,0.400006774440146,0.465117128052292,0.412699824183372,0.8360600912014,0.532257570416229,0.935476873330698,0.93999123264288,0.423078433556597,0.529411356059126,0.541665832448837,0.475410265788702,0.777777777777778,0.485714512983766,0.999887977331063
1,17500000,7263619576,182742,"India","News","Oct","25",394106000,7e+05,"2007",28.1,1366417754,5.36,471031528,20.593684,78.96288,0.96004230552353,0.634781450799355,0.789458534991665,0.571427324929495,0.615375865193187,0.576920180892143,0.412699824183372,0.393444396376725,0.790317924281489,0.935476873330698,0.981472595384838,0.63865431066442,0.634781450799355,0.580881770158871,0.634781450799355,0.596272704041445,0.634781450799355,0.999462277723364
1,17400000,13043561912,118448,"Thailand","News","Feb","5",235993000,2e+05,"2014",49.3,69625582,0.75,35294600,15.870032,100.992541,0.971907415660098,0.555549563756985,0.789458534991665,0.54999879061465,0.588230199598648,0.472727798101428,0.412699824183372,0.693545291582017,0.790317924281489,0.999991830025354,0.80519086275992,0.476923456921842,0.375002261091349,0.555555555555556,0.500000023872834,0.596272704041445,0.555549563756985,0.916093676921382
1,17200000,7337212581,138,"Brazil","Music","Nov","2",72684000,0,"2011",51.3,212559417,12.08,183241641,-14.235004,-51.92528,0.913810034049675,0.404257390765657,0.633801886066835,0.500000031218181,0.409095114920986,0.446429557032493,0.412699824183372,0.393444396376725,0.467742481949914,0.983863189680435,0.147208121827411,0.476923456921842,0.400001693694715,0.360001888286511,0.383563261097473,0.38596694134097,0.485714512983766,0.122055194344078
0,17000000,1001465469,1407,"India","Entertainment","Mar","14",7626000,1e+05,"2013",28.1,1366417754,5.36,471031528,20.593684,78.96288,0.800653111655265,0.634781450799355,0.472081368233545,0.519999632474883,0.400005080914785,0.465117128052292,0.412699824183372,0.100006693611384,0.540982961318284,8.09056912990721e-06,0.411167971854847,0.63865431066442,0.634781450799355,0.580881770158871,0.634781450799355,0.596272704041445,0.634781450799355,0.0804259988291839
1,16900000,3523578665,4891,"Brazil","Nonprofit","Apr","10",149543000,4e+05,"2016",51.3,212559417,12.08,183241641,-14.235004,-51.92528,0.97736651962623,0.404257390765657,0.000501122254369008,0.441861854919109,0.272748079572459,0.547617952510098,0.412699824183372,0.161295811734918,0.491803439671098,0.983863189680435,0.93999123264288,0.476923456921842,0.400001693694715,0.360001888286511,0.383563261097473,0.38596694134097,0.485714512983766,0.915974396442705
0,16600000,1318442641,180,"Philippines","People","Jun","1",15079000,1e+05,"2018",35.5,108116615,2.15,50975903,12.879721,121.774017,0.858929601730779,0.555549563756985,0.37778052984104,0.425533533826443,0.500000067637874,0.666660554178609,0.412699824183372,0.100006693611384,0.467742481949914,8.09056912990721e-06,0.411167971854847,0.393444396376725,0.375002261091349,0.418183335273479,0.475410265788702,0.596272704041445,0.426230744141516,0.0908728753437576
